SQ1,SQ2,SQ3,SQ5,SQ7,SQ8,Q2_7,Q2_8,Q2_9,Q2_10,Q4_1,Q5_2,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q12_2,Q14_2,Q17,Q18,Q19,Q20,Q22,Q23,Q28,Q29,Q30,Q31,Q38,Q39,Q41
2,32,11,7,25,1,7,8,7,8,3,11,5,6,5,6,6,6,5,18,8,60,4,3,1,1,2,5,,,1,1,3,3
1,39,12,7,8,2,1,4,4,5,3,7,5,5,5,5,5,5,5,18,28,30,2,5,1,1,2,1,8,1,3,1,9,1
1,54,40,7,8,2,5,5,7,7,3,9,6,6,6,6,6,6,6,18,28,10,1,3,1,1,1,1,8,2,1,6,3,6
2,47,40,7,8,2,5,5,5,5,3,11,9,5,5,5,5,5,8,18,2,10,1,5,1,1,1,1,25,10,1,6,8,14
1,61,11,7,8,1,5,7,7,6,3,7,7,5,4,7,5,7,7,18,2,7,1,7,2,2,2,1,8,10,2,2,2,14
1,48,15,7,8,1,7,7,8,8,2,9,8,8,8,8,8,8,8,5,12,10,1,4,2,1,2,1,8,4,3,1,3,10
1,44,13,7,8,2,6,6,8,8,2,9,8,7,7,8,6,8,7,18,25,30,3,7,3,1,2,1,8,6,4,1,3,4
2,36,11,7,8,1,5,5,5,5,2,2,6,6,6,6,6,6,6,4,2,30,1,3,1,1,2,1,8,1,1,1,1,9
2,41,14,7,24,1,7,7,7,10,2,16,6,6,6,6,6,6,6,18,28,5,3,2,1,1,2,1,24,1,1,1,3,4
2,39,27,7,25,1,8,7,7,7,2,13,9,8,7,9,8,7,8,1,2,21,2,3,1,1,2,2,,,4,1,3,3
1,46,12,7,8,2,1,1,5,1,5,7,8,7,7,9,8,8,9,6,24,15,1,3,3,1,1,1,8,6,4,1,9,2
1,45,13,7,8,2,6,6,7,7,2,10,7,7,5,7,5,6,6,18,2,30,4,3,1,1,2,1,8,3,1,1,3,14
1,36,11,7,8,2,8,7,8,8,2,3,8,8,8,8,7,9,8,1,12,20,2,5,4,3,1,1,12,3,3,1,3,7
2,25,23,7,25,1,5,5,4,5,3,2,5,5,5,5,5,5,5,2,27,30,4,3,3,1,2,1,28,,1,1,3,14
1,69,40,7,8,1,7,6,7,6,2,4,7,6,5,6,6,6,7,18,21,10,3,3,1,1,1,1,4,6,4,1,9,2
1,32,19,8,2,2,10,7,8,6,2,11,8,5,1,8,6,5,5,18,8,365,4,3,2,2,3,1,28,,2,1,3,4
1,55,26,8,8,2,10,10,9,10,1,2,10,10,9,10,10,10,10,6,21,90,7,30,4,2,2,4,,,2,8,4,7
1,32,24,7,25,1,6,6,6,6,2,5,6,6,6,6,6,6,6,18,28,7,1,1,3,1,2,5,,,1,1,3,4
2,34,11,7,27,2,10,8,8,7,2,11,8,9,7,8,8,8,8,18,8,1,1,2,1,1,2,2,,,3,6,8,1
2,34,17,8,2,2,5,6,6,6,3,9,6,6,6,5,5,5,5,18,28,30,1,2,1,1,3,1,28,,3,6,7,10
1,40,47,7,7,1,7,7,8,8,2,11,8,8,8,7,8,8,8,6,8,15,2,3,1,3,2,11,,,2,6,3,3
2,23,4,8,8,2,7,7,8,6,2,13,9,8,3,7,6,8,9,6,2,60,1,15,2,1,2,1,8,6,4,1,3,1
1,22,23,7,25,2,6,6,6,6,2,9,6,6,6,6,6,6,6,6,8,30,1,5,1,1,2,1,28,,1,1,3,14
1,36,14,7,8,2,7,5,4,5,4,4,4,4,5,3,4,5,4,1,12,60,1,3,2,1,2,1,8,3,3,1,3,4
2,45,27,7,25,2,1,3,5,5,3,10,6,5,5,6,6,6,8,18,12,60,2,5,2,1,2,1,12,6,1,1,8,2
1,40,13,7,25,2,7,7,7,7,2,9,6,6,6,7,8,7,5,5,8,90,3,20,2,1,2,1,8,1,3,1,3,8
2,26,40,7,8,1,7,7,7,7,2,7,8,7,7,7,7,7,7,4,24,20,3,5,3,1,2,1,8,4,4,4,3,3
2,40,14,7,2,1,8,8,8,8,1,9,10,10,5,8,10,8,10,18,8,15,1,3,2,1,2,1,8,2,3,1,3,2
2,39,14,7,25,1,8,8,7,7,2,11,6,7,8,10,10,10,10,18,2,20,1,2,1,1,2,1,28,,3,1,3,3
1,40,13,7,21,1,9,9,8,8,1,1,10,9,9,9,10,10,10,1,8,10,1,5,2,1,1,1,21,1,3,4,3,7
2,33,12,7,8,1,4,4,5,5,3,18,5,5,5,5,5,5,5,15,10,60,3,5,3,2,2,9,,,2,1,8,2
1,34,27,7,2,2,8,8,8,7,2,11,7,6,4,7,6,6,8,5,8,10,2,7,1,1,2,1,2,1,1,1,3,6
1,37,13,7,24,2,9,9,9,9,2,9,9,9,9,8,8,8,8,18,28,90,3,10,5,2,1,1,24,1,2,1,2,5
2,35,7,7,8,1,10,10,10,10,2,2,10,10,5,10,10,5,10,18,2,7,1,4,5,5,2,1,8,3,2,1,3,3
1,40,4,7,8,1,10,10,10,10,3,4,6,6,6,6,6,5,6,18,28,30,1,3,1,1,3,1,8,1,1,2,3,5
2,40,37,7,9,1,7,6,7,7,2,11,4,6,10,7,7,7,6,18,6,15,1,10,5,1,2,1,6,6,3,6,7,7
2,37,12,7,8,2,7,9,8,7,2,11,8,7,6,8,7,8,9,6,28,60,3,3,3,1,2,1,8,2,1,4,8,4
2,55,1,7,24,1,9,9,7,8,3,9,4,5,7,8,6,4,9,5,8,10,1,3,1,1,1,1,8,6,4,2,7,2
1,57,27,7,8,1,9,9,9,10,1,9,9,9,9,9,9,9,9,13,28,77,3,5,3,1,2,1,8,2,1,1,3,6
2,52,14,7,8,2,7,8,10,8,2,11,8,8,8,8,8,7,8,5,28,3,4,5,1,1,2,1,8,1,4,6,3,5
